0.0313,0.4035,0.1240,0.7263,0.6671,0.0845,0.1606,0.0346,0.6361,0.1845,0.9171,0.9543,1
0.1534,0.8017,0.2212,0.4554,0.4800,0.6606,0.8047,0.6193,0.5021,0.4376,0.5746,0.9567,0
0.2785,0.7452,0.3319,0.5309,0.9080,0.6643,0.4994,0.1255,0.1050,0.5192,0.8023,0.2002,0
0.9067,0.9596,0.0879,0.2590,0.4948,0.4781,0.3128,0.5648,0.4692,0.0190,0.6752,0.7196,1
0.0231,0.2169,0.4729,0.0715,0.8499,0.8718,0.6021,0.5415,0.1528,0.5670,0.7887,0.5074,1
0.6385,0.3945,0.9493,0.9415,0.3324,0.1384,0.7513,0.3383,0.8390,0.5725,0.4312,0.6808,0
0.7971,0.8001,0.0342,0.2323,0.0134,0.8132,0.2223,0.4590,0.6155,0.5494,0.7713,0.1313,0
0.1105,0.1390,0.9670,0.3450,0.5030,0.6581,0.9454,0.0482,0.8845,0.6063,0.8330,0.4483,1
0.0277,0.2456,0.5472,0.5328,0.5362,0.1834,0.5463,0.2224,0.5626,0.7840,0.7497,0.1642,1
0.5430,0.4390,0.7925,0.3660,0.7475,0.8081,0.2578,0.2243,0.0553,0.5051,0.7764,0.1469,0
0.4848,0.2009,0.5922,0.6391,0.0727,0.0533,0.8806,0.5664,0.2658,0.2973,0.0843,0.1817,0
0.7840,0.3723,0.6820,0.8258,0.0320,0.1065,0.3418,0.7812,0.6339,0.2216,0.7720,0.7530,1
0.8280,0.0741,0.4924,0.1896,0.1010,0.9167,0.5662,0.3506,0.4243,0.4144,0.0294,0.7296,0
0.7877,0.9474,0.1583,0.9514,0.1897,0.4158,0.2027,0.9324,0.4072,0.3676,0.9574,0.2360,0
0.0518,0.7771,0.9728,0.6589,0.7171,0.6633,0.7386,0.4602,0.4254,0.7517,0.6251,0.8421,1
0.8987,0.5908,0.7028,0.0620,0.0065,0.9744,0.0178,0.9668,0.0788,0.0011,0.0221,0.1127,1
